epoch;acc;loss;val_acc;val_loss
0;0.10955443205656828;0.0677676888320733;0.22677103678385416;0.016241617983690015
1;0.07131462626987034;0.01083292283066031;0.07984387433087384;0.011125385761260986
2;0.18097083656876176;0.008728854366819616;0.36615251611780236;0.012934204156476038
3;0.3571245582015426;0.007468459649114973;0.5173037846883138;0.007899404020497092
4;0.5772325727674696;0.00666423264839169;0.3171815872192383;0.008069880979342593
5;0.6120409700605605;0.006560141880375643;0.4408270164772316;0.006653910123363689
6;0.6891713848820439;0.006092703672712324;0.6271201592904551;0.010716176488333277
7;0.7618289170441804;0.0057121089883838535;0.9434053986160843;0.005738994365351068
8;0.9188090695275201;0.005101094757534425;0.9777371441876447;0.0164096695198505
9;0.9088401529524062;0.0035132246924115826;0.9471495593035663;0.005035732139798778
10;0.9011443279407643;0.003343533002340269;0.9390190972222222;0.004371191331840775
11;0.8987036634374548;0.0029869678169402673;0.8848873067785192;0.004572677400170101
12;0.9198580671239782;0.0027887947033849304;0.953096001236527;0.002723757694992754
13;0.9133273583871347;0.0026901074279858557;0.9593794080946181;0.0037023680181139046
14;0.9222574322311966;0.0025304515460178394;0.9350689075611256;0.0024367269447625236
15;0.9386332299974229;0.0023123615742574825;0.964983445626718;0.002505987598043349
16;0.9404125213623047;0.0021633741605371513;0.9591816089771412;0.002394857562009107
17;0.9515288405948215;0.002073551555103795;0.9702861927173756;0.002169703956934865
18;0.9506588865209509;0.002063366849109082;0.942673471238878;0.002610908553901094
19;0.9585953465214482;0.0018982110486831516;0.9736345785635488;0.0022492261939785546
